Song,Performer,Peak Position,grouped_genre,release_year,release_month,spotify_track_popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,time_signature,spotify_track_duration_ms,prior_song_count,prior_top10_count,prior_best_peak,prior_avg_peak
Rule The World,2 Chainz Featuring Ariana Grande,94,hiphop,2019,3,67.0,0.5919999999999999,0.5839999999999999,-6.232,0.0893,0.158,3e-06,0.132,0.447,88.07299999999998,8.0,4.0,245893.0,0,0,101.0,101.0
No Lie,2 Chainz Featuring Drake,24,hiphop,2012,5,61.0,0.634,0.665,-5.984,0.1759999999999999,0.0172,0.0,0.3649999999999999,0.6109999999999999,131.108,6.0,4.0,237826.0,0,0,101.0,101.0
I Do It,2 Chainz Featuring Drake & Lil Wayne,94,hiphop,2013,9,35.0,0.6059999999999999,0.72,-4.461,0.188,0.189,0.0,0.193,0.61,145.331,11.0,4.0,373693.0,0,0,101.0,101.0
Birthday Song,2 Chainz Featuring Kanye West,47,hiphop,2012,8,57.0,0.753,0.59,-2.623,0.0485,0.0591,0.0,0.15,0.161,140.002,1.0,4.0,306600.0,0,0,101.0,101.0
Momma I Hit A Lick,2 Chainz Featuring Kendrick Lamar,100,hiphop,2019,3,64.0,0.796,0.467,-6.293,0.34,0.202,3.3e-05,0.2059999999999999,0.4,179.974,11.0,3.0,173760.0,0,0,101.0,101.0
Yuck!,2 Chainz Featuring Lil Wayne,80,hiphop,2012,9,43.0,0.638,0.885,-4.353,0.259,0.666,9.9e-05,0.155,0.436,149.929,11.0,4.0,287573.0,0,0,101.0,101.0
Gotta Lotta,2 Chainz Featuring Lil Wayne,100,hiphop,2016,3,52.0,0.681,0.6079999999999999,-7.344,0.0504,0.00282,0.0,0.0869,0.1769999999999999,81.96899999999998,7.0,4.0,214720.0,1,0,80.0,80.0
Feds Watching,2 Chainz Featuring Pharrell,66,hiphop,2013,7,50.0,0.786,0.878,-6.533,0.0999,0.0507,0.0,0.311,0.746,140.031,7.0,4.0,247013.0,0,0,101.0,101.0
Whip,2 Chainz Featuring Travis Scott,75,hiphop,2019,3,61.0,0.793,0.399,-7.428,0.0951,0.12,0.0,0.124,0.0379,121.949,7.0,4.0,226600.0,0,0,101.0,101.0
It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",44,hiphop,2017,7,76.0,0.822,0.505,-7.384,0.1469999999999999,0.0317,0.000911,0.114,0.523,73.003,7.0,4.0,210200.0,0,0,101.0,101.0
